
TIME,FPS
5.008,58.706
10.022,58.4363
15.0301,58.3067
20.0421,58.4597
25.0541,58.4596
30.0682,58.4363
35.069,58.5882
40.0766,58.5064
45.0913,58.4247
50.096,58.3417
55.1038,58.3067
60.1135,58.2834
65.1202,58.3183
70.1287,58.2951
75.1352,58.3183
80.1486,58.2369
85.1531,58.3416
90.1576,58.3416
95.1731,58.413
100.184,58.4714
105.195,58.2602
110.204,58.2951
115.211,58.3067
120.218,58.3067
125.222,58.3533
130.232,58.2834
135.232,58.2
140.248,58.2137
145.261,58.2485
150.266,58.3533
155.278,58.2601
160.283,58.3416
165.29,58.3183
170.293,58.365
175.296,58.365
180.3,58.3533
185.304,58.3533
190.321,58.0143
195.322,58.3883
200.335,58.2485
205.348,58.2485
210.359,58.2718
215.367,58.3067
220.379,58.2718
225.389,58.2834
230.405,58.2137
235.42,58.2253
240.433,58.2601
245.442,58.295
250.454,58.2601
255.469,58.4247
260.469,58.4
265.473,58.3533
270.476,58.365
275.482,58.3183
280.489,58.3183
285.504,58.2253
290.506,58.3766
295.52,58.2369
