
Building BVH took: 76.825s
TIME,FPS
5.03,27.6342
10.047,29.4997
15.08,28.8099
20.104,28.8615
25.127,29.0663
30.151,29.2596
35.161,28.9421
40.193,28.8156
45.2169,28.8615
50.2179,28.7943
55.2459,28.8385
60.2819,28.9913
65.3049,29.2654
70.3192,28.919
75.3275,28.754
80.3337,28.9653
85.3668,29.0086
90.394,29.441
95.4022,28.9537
100.426,28.8615
105.461,28.8041
110.48,29.0895
115.493,29.1243
120.519,28.85
125.527,28.7598
130.542,28.9133
135.575,28.8099
140.585,28.9421
145.588,28.9826
150.595,29.5586
155.624,29.4293
160.658,28.8041
165.684,28.8557
170.71,29.049
175.719,28.9479
180.728,28.9479
185.736,28.754
190.759,28.873
195.772,28.9248
200.8,28.8385
205.82,28.8845
210.825,28.971
215.84,28.9133
220.868,29.0374
225.898,29.2305
230.908,29.1417
235.942,28.8041
240.966,29.0605
245.995,28.8328
251.001,28.7655
256.035,29.0086
261.044,28.9479
266.072,28.8385
271.089,28.9017
276.12,28.827
281.148,29.0374
286.149,28.7943
291.168,28.8902
296.181,28.9306
