TIME,FPS
5.072,2.76025
10.201,2.72958
15.336,2.72639
20.455,2.73491
25.571,2.73651
30.666,2.74779
35.796,2.72904
40.929,2.72745
46.024,2.74779
51.112,2.75157
56.226,2.73758
61.322,2.74725
66.415,2.74887
71.525,2.73973
76.633,2.7408
81.752,2.73491
86.869,2.73598
91.987,2.73544
97.085,2.74618
102.173,2.75157
107.301,2.73011
112.413,2.73865
117.499,2.75265
122.613,2.73758
127.711,2.74618
132.811,2.7451
137.911,2.7451
143.03,2.73491
148.134,2.74295
153.251,2.73598
158.341,2.75049
163.437,2.74725
168.551,2.73758
173.649,2.74618
178.773,2.73224
183.869,2.74725
188.994,2.73171
194.11,2.73651
199.226,2.73651
204.353,2.73064
209.466,2.73812
214.566,2.7451
219.688,2.73331
224.792,2.74295
229.889,2.74671
234.991,2.74402
240.104,2.73812
245.232,2.73011
250.346,2.73758
255.438,2.74941
260.55,2.73865
265.732,2.70166
270.855,2.73277
276.133,2.65252
281.317,2.70062
286.508,2.69698
291.706,2.69334
296.875,2.70845
